repository	disposition	category	reason
sharkdp/hyperfine	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
hatoo/oha	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
bheisler/criterion.rs	alias	benchmark/testing candidate	Historical Criterion location; canonical criterion-rs/criterion.rs counted separately.
pawurb/hotpath-rs	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
nvzqz/divan	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
djkoloski/rust_serialization_benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
us/crw	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
bencherdev/bencher	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
suyoumo/ClawProBench	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
bheisler/iai	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
lnx-search/rewrk	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Voultapher/sort-research-rs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
lance0/xfr	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
reyamira/models	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
twitter/rpc-perf	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
alacritty/vtebench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
BurntSushi/cargo-benchcmp	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
CodSpeedHQ/codspeed	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
gungraun/gungraun	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
hoodie/concatenation_benchmarks-rs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
MystenLabs/fastcrypto	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
programatik29/rust-web-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
BurntSushi/critcmp	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
rsasaki0109/rust_robotics	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
datafusion-contrib/tpcgen-rs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
rosetta-rs/template-benchmarks-rs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
wfxr/rlt	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
bheisler/cargo-criterion	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
facebookexperimental/resctl-demo	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
beling/bsuccinct-rs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
huggingface/inference-benchmarker	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
OxidizeLabs/cachekit	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ashvardanian/StringWars	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
abundant-ai/swe-marathon	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
jcaromiq/goku	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
flashbots/contender	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
raphaelmansuy/edgeparse	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
delendum-xyz/zk-benchmarking	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ashvardanian/less_slow.rs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
wkwan/flo	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
anoma/zkp-compiler-shootout	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
jonhoo/bustle	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
rousan/rust-web-frameworks-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Proryanator/encoder-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
fede1024/kafka-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
goobolabs/somali-language-standard	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
khvzak/script-bench-rs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
erickt/rust-serialization-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
optuna/kurobako	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
bluss/bencher	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
omarmhaimdat/pepe	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sharkbench/sharkbench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
clouedoc/hzfind	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
klingtnet/rb	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
trinhminhtriet/spiko	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
solstackapp/geyserbench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
